license_id,brand_name,ingredient,drugbank_id,potential_indication,source,score
EMEA/H/C/004773,Febuxostat Krka,FEBUXOSTAT,DB04854,obsolete hyperuricemia (disease),TxGNN Deep Learning,0.9999611377716064
EMEA/H/C/005437,Vumerity,DIROXIMEL FUMARATE (BIIB098),DB14783,dermatitis,TxGNN Deep Learning,0.9999598264694214
EMEA/H/C/004883,Esperoct,TUROCTOCOG ALFA PEGOL,DB14738,Glanzmann thrombasthenia,TxGNN Deep Learning,0.999958872795105
EMEA/H/C/000626,Neupro,ROTIGOTINE,DB05271,schizophrenia,TxGNN Deep Learning,0.9999587535858154
EMEA/H/C/005975,Tuzulby,METHYLPHENIDATE HYDROCHLORIDE,DB00422,"attention deficit hyperactivity disorder, inattentive type",TxGNN Deep Learning,0.9999583959579468
EMEA/H/C/005437,Vumerity,DIROXIMEL FUMARATE (BIIB098),DB14783,exanthem (disease),TxGNN Deep Learning,0.9999581575393676
EMEA/H/C/004426,Cablivi,CAPLACIZUMAB,DB06081,bleeding diathesis due to a collagen receptor defect,TxGNN Deep Learning,0.999957799911499
EMEA/H/C/000825,Ratiograstim,FILGRASTIM,DB00099,Glanzmann thrombasthenia,TxGNN Deep Learning,0.9999568462371826
EMEA/H/C/004426,Cablivi,CAPLACIZUMAB,DB06081,hemorrhagic disorder due to a constitutional thrombocytopenia,TxGNN Deep Learning,0.9999557733535768
EMEA/H/C/004806,Takhzyro,LANADELUMAB,DB14597,C1 inhibitor deficiency,TxGNN Deep Learning,0.999955415725708
EMEA/H/C/005997,Apexelsin,PACLITAXEL,DB01229,female breast carcinoma,TxGNN Deep Learning,0.9999544620513916
EMEA/H/C/002738,Izba,TRAVOPROST,DB00287,syndrome with a Dandy-Walker malformation as major feature,TxGNN Deep Learning,0.999954342842102
EMEA/H/C/004722,Doptelet,AVATROMBOPAG MALEATE,DB11995,marcothrombocytopenia with mitral valve insufficiency,TxGNN Deep Learning,0.9999537467956544
